-,-,-
0, -8, 982
5, -9, 1006
5, -9, 1006
4, -8, 994
6, -9, 994
6, -9, 994
5, -10, 994
3, -10, 994
3, -10, 994
1, -10, 994
5, -10, 994
5, -9, 993
5, -9, 993
3, -9, 994
3, -10, 994
3, -10, 994
2, -9, 993
-2, -12, 995
-2, -12, 995
-97, -25, 996
-148, -19, 993
-150, -12, 1011
-214, -24, 987
-225, -24, 985
-275, -29, 949
-275, -29, 949
-287, -40, 881
-214, -69, 963
-203, -19, 932
-97, 41, 888
-53, -44, 957
7, -98, 1025
7, -98, 1025
52, -31, 862
148, 62, 815
160, -4, 915
160, -4, 915
201, -6, 869
227, -14, 921
269, 6, 970
269, 6, 970
310, 44, 980
310, 48, 988
295, 32, 997
114, -5, 990
114, -5, 990
361, 43, 1007
281, 32, 975
288, 4, 1002
288, 4, 1002
286, 1, 988
233, 23, 949
244, -11, 973
244, -11, 973
249, -41, 963
185, -83, 975
127, -63, 909
76, -6, 938
32, -14, 938
32, -14, 938
-42, -44, 914
-150, -35, 953
-315, -4, 918
-429, 0, 971
-429, 0, 971
-410, -2, 977
-379, -28, 950
-345, -58, 981
-217, -13, 994
-,-,-
3, -7, 992
3, -7, 992
2, -9, 998
4, -10, 993
4, -10, 993
4, -10, 994
4, -10, 994
5, -10, 994
5, -10, 994
4, -10, 994
5, -10, 993
5, -10, 993
3, -11, 993
3, -11, 994
4, -10, 993
4, -10, 993
4, -9, 993
4, -9, 994
4, -9, 994
3, -9, 993
2, -10, 994
2, -10, 994
-6, -12, 993
-156, -33, 998
-190, -50, 992
-238, -49, 996
-238, -49, 996
-240, -17, 975
-272, 59, 991
-247, 64, 959
-193, -1, 946
-208, -12, 908
-131, -32, 951
-131, -32, 951
-97, -111, 953
-49, -85, 854
17, -23, 980
96, -22, 892
129, -12, 901
129, -12, 901
204, -25, 926
241, -66, 980
252, -26, 961
272, 19, 972
272, 19, 972
327, 36, 983
338, 45, 996
231, 40, 992
231, 40, 992
310, -53, 991
228, 6, 997
252, 58, 973
281, 40, 1008
281, 40, 1008
302, 24, 1014
276, 4, 915
250, -38, 995
193, -38, 855
193, -38, 855
165, -37, 911
85, -67, 966
-17, -18, 851
-92, -10, 907
-92, -10, 907
-190, -35, 964
-297, -51, 909
-421, 0, 911
-459, 12, 913
-430, -41, 1005
-281, -29, 996
-281, -29, 996
-110, -11, 992
-,-,-
7, -19, 974
-1, 0, 1014
4, -9, 994
4, -9, 994
5, -11, 994
4, -10, 994
4, -10, 994
4, -11, 994
4, -11, 994
4, -11, 994
3, -11, 994
3, -10, 994
2, -10, 994
2, -10, 994
-72, -12, 997
-103, -25, 997
-166, -55, 978
-321, -54, 995
-321, -54, 995
-330, 53, 1022
-314, 89, 962
-283, 70, 924
-236, -4, 928
-178, -134, 977
-173, -117, 940
-114, -43, 856
-114, -43, 856
-9, -28, 992
104, -72, 912
199, -127, 935
189, -46, 905
290, 12, 992
290, 12, 992
328, -21, 923
359, 8, 977
348, 29, 967
348, 29, 967
335, 89, 1005
233, 100, 996
307, -32, 990
257, 29, 990
257, 29, 990
272, 74, 984
258, 55, 979
289, 71, 922
241, -13, 969
241, -13, 969
182, -68, 882
185, -76, 954
121, -86, 896
43, -30, 913
43, -30, 913
28, -66, 803
29, -83, 902
-31, -49, 924
-129, 15, 896
-129, 15, 896
-178, 17, 849
-276, -41, 955
-326, 2, 963
-359, 39, 863
-359, 39, 863
-392, 4, 1014
-309, -36, 991
-152, -57, 994
-5, -11, 994
-90, -10, 997
-90, -10, 997
10, -13, 989
4, -13, 995
37, -7, 994
-,-,-
4, -11, 993
5, -10, 993
4, -9, 995
4, -9, 995
5, -9, 994
5, -10, 992
5, -10, 992
8, -8, 994
-1, -13, 995
4, -11, 993
4, -11, 993
4, -10, 993
4, -11, 993
4, -11, 993
4, -10, 993
4, -10, 994
5, -10, 994
5, -10, 994
4, -10, 994
0, -11, 993
0, -11, 993
-94, -26, 990
-77, -30, 997
-174, -21, 1003
-189, -36, 979
-227, 11, 993
-227, 11, 993
-202, 43, 977
-199, 50, 963
-194, 12, 959
-168, -39, 952
-173, -20, 923
-173, -20, 923
-119, -44, 825
-85, -68, 850
-62, -118, 960
-50, -79, 950
33, -35, 899
67, -41, 913
67, -41, 913
112, -51, 932
101, -18, 943
169, 11, 896
169, 11, 896
297, 41, 960
341, 37, 966
334, 34, 999
322, 30, 1000
322, 30, 1000
285, 21, 994
100, 3, 993
352, -4, 994
352, -4, 994
263, 43, 1000
296, 19, 951
289, 10, 961
318, 23, 855
318, 23, 855
224, -6, 1025
175, -46, 935
87, -48, 930
76, -41, 910
76, -41, 910
64, -27, 794
35, 1, 996
35, 1, 996
12, 0, 914
-76, -47, 947
-227, -93, 789
-310, -41, 915
-310, -41, 915
-403, -3, 989
-375, 8, 950
-352, -29, 990
-262, -21, 1006
-146, -8, 996
-,-,-
3, -9, 994
3, -9, 994
3, -9, 992
4, -9, 993
4, -9, 993
5, -10, 993
4, -10, 991
4, -10, 991
2, -10, 991
2, -10, 992
3, -10, 992
3, -10, 992
4, -9, 992
3, -9, 991
3, -9, 991
2, -10, 992
-2, -10, 993
-2, -10, 993
-125, -14, 984
-111, -27, 994
-186, -35, 998
-186, -23, 1000
-183, 42, 970
-169, 40, 997
-169, 40, 997
-145, 10, 953
-115, -31, 963
-138, -27, 964
-136, 32, 975
-80, -41, 1021
-61, -41, 902
-61, -66, 902
-72, -31, 995
-54, -18, 956
-18, -7, 929
1, -17, 941
1, -17, 941
70, -23, 944
73, -16, 945
120, -47, 980
120, -47, 980
197, -60, 954
235, -42, 843
272, 1, 998
296, 11, 955
296, 11, 955
308, 14, 1010
294, 26, 991
228, -55, 988
228, -55, 988
251, -9, 998
270, 27, 1004
293, 22, 960
312, 53, 967
312, 53, 967
284, 27, 952
235, 5, 947
192, -2, 963
192, -2, 963
147, -60, 870
85, -39, 870
37, -43, 979
-19, -49, 980
-19, -49, 980
-61, -64, 866
-163, -77, 929
-267, -38, 877
-368, -8, 931
-424, 2, 991
-424, 2, 991
-424, -18, 985
-282, -18, 978
-214, 19, 996
-,-,-
0, -9, 991
0, -9, 991
0, -7, 992
4, -8, 990
4, -8, 990
7, -6, 989
2, -10, 991
2, -10, 991
-4, -10, 991
-59, -4, 989
-140, -42, 993
-140, -42, 993
-190, -43, 970
-264, -11, 1012
-262, -15, 954
-221, 0, 931
-168, 32, 988
-191, -10, 970
-191, -10, 970
-173, -35, 909
