"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S900","2020-02-12 00:00:00","27.000","112.000","2.900","21.400","0.740","1020.300","","0.000","-99.000","-99.000","-99.000","22.900","","17.800",""
"C0C480","2020-02-12 00:00:00","105.000","0.000","0.000","16.900","0.880","1008.500","","0.000","-99.000","-99.000","-99.000","24.100","","15.500",""
"C0V720","2020-02-12 00:00:00","15.000","26.000","1.500","20.900","0.720","1019.200","","0.000","-99.000","-99.000","-99.000","24.100","","17.900",""
"C0UA60","2020-02-12 00:00:00","566.000","235.000","1.800","15.700","0.750","956.900","","0.000","7.000","182.000","","18.900","","12.000",""
"C0C670","2020-02-12 00:00:00","250.000","171.000","0.700","15.800","0.930","992.000","","0.000","-99.000","-99.000","-99.000","21.000","","13.900",""
"C0K550","2020-02-12 00:00:00","15.000","337.000","1.900","17.400","0.900","1019.100","","0.000","-99.000","-99.000","-99.000","21.800","","15.100",""
"C0R350","2020-02-12 00:00:00","35.000","87.000","6.500","23.000","0.740","1017.500","","0.000","-99.000","-99.000","-99.000","23.600","","20.500",""
"C0T9F0","2020-02-12 00:00:00","251.000","266.000","1.200","17.900","0.720","994.100","","0.000","-99.000","-99.000","-99.000","20.600","","14.700",""
"C0D390","2020-02-12 00:00:00","146.000","0.000","0.000","16.100","0.950","1002.400","","0.000","-99.000","-99.000","-99.000","22.800","","12.800",""
"C0E430","2020-02-12 00:00:00","258.000","185.000","1.600","15.500","0.910","994.200","","0.000","-99.000","-99.000","-99.000","20.800","","13.500",""
"C0O990","2020-02-12 00:00:00","18.000","47.000","0.500","17.900","0.990","1018.400","","0.000","-99.000","-99.000","-99.000","22.300","","16.600",""
"CM0010","2020-02-12 00:00:00","68.000","0.000","0.000","16.800","0.820","1013.600","","0.000","-99.000","-99.000","-99.000","23.400","","15.100",""
"C0K500","2020-02-12 00:00:00","12.000","347.000","1.700","17.400","0.980","1018.200","","0.000","-99.000","-99.000","-99.000","21.100","","15.500",""
"C0X260","2020-02-12 00:00:00","39.000","336.000","0.800","17.800","0.920","1016.700","","0.000","-99.000","-99.000","-99.000","21.500","","15.600",""
"C0ACA0","2020-02-12 00:00:00","25.000","0.000","0.000","17.400","0.910","1017.100","","0.000","-99.000","-99.000","-99.000","22.800","","16.100",""
"C0X180","2020-02-12 00:00:00","62.000","0.000","0.000","17.900","0.990","1013.500","","0.000","-99.000","-99.000","-99.000","21.800","","16.200",""
"C0F930","2020-02-12 00:00:00","100.000","0.000","0.100","17.800","1.000","1008.400","","0.000","-99.000","-99.000","-99.000","21.600","","16.500",""
"C0I010","2020-02-12 00:00:00","1562.000","43.000","0.800","10.700","0.890","853.700","","0.000","-99.000","-99.000","-99.000","13.800","","7.800",""
"C0R190","2020-02-12 00:00:00","32.000","286.000","0.900","19.100","0.830","1016.500","","0.000","-99.000","-99.000","-99.000","23.200","","14.900",""
"C0E420","2020-02-12 00:00:00","19.000","0.000","0.000","16.600","0.900","1016.600","","0.000","-99.000","-99.000","-99.000","20.200","","14.500",""
"C0W160","2020-02-12 00:00:00","49.000","218.000","2.400","14.100","0.910","1012.500","","0.000","-99.000","-99.000","-99.000","15.900","","13.000",""
"C0I460","2020-02-12 00:00:00","110.000","235.000","0.900","18.400","0.890","1008.200","","0.000","-99.000","-99.000","-99.000","23.000","","15.300",""
"C0A9F0","2020-02-12 00:00:00","35.000","0.000","0.000","18.000","0.850","1017.700","","0.000","-99.000","-99.000","-99.000","23.600","","16.100",""
"C0F9A0","2020-02-12 00:00:00","425.000","146.000","0.600","17.700","0.830","971.400","","0.000","-99.000","-99.000","-99.000","21.600","","14.500",""
"C0K280","2020-02-12 00:00:00","23.000","329.000","0.900","17.300","0.970","1020.300","","0.000","-99.000","-99.000","-99.000","22.200","","14.700",""
"C0M650","2020-02-12 00:00:00","20.000","353.000","0.800","17.400","0.890","1018.900","","0.000","-99.000","-99.000","-99.000","21.600","","15.600",""
"C0S910","2020-02-12 00:00:00","212.000","114.000","3.800","20.800","0.990","999.500","","0.000","-99.000","-99.000","-99.000","21.000","","18.200",""
"C0D570","2020-02-12 00:00:00","15.000","0.000","0.000","16.000","1.000","1019.200","","0.000","-99.000","-99.000","-99.000","20.000","","14.000",""
"C0M710","2020-02-12 00:00:00","15.000","342.000","2.100","17.700","0.910","1019.300","","0.000","-99.000","-99.000","-99.000","20.800","","15.500",""
"C0V490","2020-02-12 00:00:00","20.000","6.000","0.700","21.000","0.690","1018.500","","0.000","-99.000","-99.000","-99.000","23.100","","18.600",""
"C0E870","2020-02-12 00:00:00","34.000","104.000","0.400","16.300","0.990","1018.500","","0.000","-99.000","-99.000","-99.000","21.700","","14.800",""
